ConstituentID,Nationality
5158,British
5160,French
5163,English
5166,New Zealander
5167,New Zealander
5168,Italian
5170,Italian
5172,New Zealander
5174,Australian
5175,New Zealander
5176,Dutch
5177,Dutch
5178,Indonesian
5180,Dutch
5181,German
5183,Indonesian
5184,Indonesian
5185,American
5186,Irish
5188,American
5189,American
5191,American
5192,American
5193,English
5195,Italian
5196,Italian
5197,Scottish
5198,German
5201,German
5202,English
5203,Italian
5205,Italian
5206,British
5207,British
5209,English
5213,Swiss
5215,German
5216,German
4528,German
4529,American
4530,American
4531,American
4534,American
4535,English
4536,Dutch
4538,American
4539,French
4541,French
4542,Italian
